"","id","institution_name","institution_address","outbreak_setting","type_of_outbreak","causative_agent_1","causative_agent_2","date_outbreak_began","date_declared_over","active","setting_count","type_count","outbreak_year","year_count"
"1",1,"Chartwell Gibson Long Term Care Residence - Unit 3","1925 Steeles Ave E","LTCH","Respiratory","Influenza A (Not subtyped)",NA,2022-12-31,2023-01-13,"N",477,1107,"2022",1133
"2",1,"Chester Village - 1W & 4W","3555 Danforth Ave","LTCH","Respiratory","COVID-19",NA,2023-12-31,2024-02-03,"N",601,1016,"2023",1066
"3",1,"Ivan Franko Home","767 Royal York Rd","LTCH","Respiratory","COVID-19",NA,2021-12-31,2022-01-19,"N",187,385,"2021",394
"4",1,"The Wexford - 5th Fl","1860 Lawrence Ave E","LTCH","Respiratory","Metapneumovirus",NA,2024-03-27,NA,"Y",169,247,"2024",272
"5",1,"University Health Network - Bickle Centre - N5B-TCU","130 Dunn Avenue","Hospital-Chronic Care","Respiratory","COVID-19",NA,2020-12-31,2021-01-15,"N",49,519,"2020",553
"6",2,"Belmont House - 2 East","55 Belmont St","LTCH","Respiratory","COVID-19",NA,2023-12-30,2024-01-10,"N",601,1016,"2023",1066
"7",2,"Centre For Addiction and Mental Health - Unit 1-3","1001 Queen St W","Hospital-Psychiatric","Respiratory","Influenza A (Not subtyped)",NA,2024-03-26,NA,"Y",8,247,"2024",272
"8",2,"Christie Gardens - Seaton","600 Melita Cres","Retirement Home","Respiratory","COVID-19",NA,2022-12-31,2023-01-23,"N",205,1107,"2022",1133
"9",2,"The Claremont","305 Balliol St","Retirement Home","Respiratory","COVID-19",NA,2021-12-31,2022-01-31,"N",55,385,"2021",394
"10",2,"Unity Health Toronto-St. Joseph's Health Centre - 4E","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-31,2021-01-16,"N",82,519,"2020",553
"11",3,"Fairview Nursing Home - Schlegel Villages - 1st Fl","14 Cross Street","LTCH","Respiratory","COVID-19",NA,2020-12-31,2021-02-01,"N",316,519,"2020",553
"12",3,"Lakeshore Lodge - 2 North","3197 Lakeshore Blvd","LTCH","Respiratory","COVID-19",NA,2022-12-31,2023-01-20,"N",477,1107,"2022",1133
"13",3,"St. George Care Community - 5th Fl","225 St. George St","LTCH","Respiratory","COVID-19",NA,2024-03-26,NA,"Y",169,247,"2024",272
"14",3,"The Jewish Home for the Aged -  2nd Fl (2RF)","3560 Bathurst St","LTCH","Respiratory","COVID-19",NA,2023-12-30,2024-01-06,"N",601,1016,"2023",1066
"15",3,"University Health Network - Bickle Centre - South 5","130 Dunn Avenue","Hospital-Chronic Care","Respiratory","COVID-19",NA,2021-12-31,2022-01-20,"N",47,385,"2021",394
"16",4,"Amica On the Avenue","1066 Avenue Rd","Retirement Home","Respiratory","COVID-19",NA,2021-12-30,2022-01-25,"N",55,385,"2021",394
"17",4,"Kennedy Lodge Nursing Home - Main North & South","1400 Kennedy Road","LTCH","Respiratory","COVID-19",NA,2020-12-31,2021-02-23,"N",316,519,"2020",553
"18",4,"The Teddington - 3rd Fl","4 Teddington Park Ave","Retirement Home","Respiratory","Respiratory syncytial virus",NA,2022-12-31,2023-01-09,"N",205,1107,"2022",1133
"19",4,"The Village of Humber Heights - 3E (Islington)","2245 Lawrence Ave W","LTCH","Respiratory","Parainfluenza",NA,2023-12-30,2024-01-16,"N",601,1016,"2023",1066
"20",4,"Wellesley Central Place - 4W","160 Wellesley St E","LTCH","Respiratory","COVID-19",NA,2024-03-26,NA,"Y",169,247,"2024",272
"21",5,"Baycrest Hospital - 4 East (Psychiatry)","3560 Bathurst Street","Hospital-Chronic Care","Respiratory","COVID-19",NA,2021-12-30,2022-01-13,"N",47,385,"2021",394
"22",5,"Delmanor Prince Edward - Etobicoke - 6th Fl","4180 Dundas Street W","Retirement Home","Respiratory","COVID-19",NA,2022-12-30,2023-01-13,"N",205,1107,"2022",1133
"23",5,"Fairview Nursing Home - 2nd Fl","14 Cross St","LTCH","Respiratory","Pending",NA,2024-03-25,NA,"Y",169,247,"2024",272
"24",5,"Unity Health Toronto - St. Joseph's - 3M","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19",NA,2023-12-30,2024-01-06,"N",107,1016,"2023",1066
"25",5,"Unity Health Toronto - St. Michael's Hospital - OR","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-30,2021-01-11,"N",82,519,"2020",553
"26",6,"Chartwell Grenadier Retirement Residence - 2nd Fl (Building D)","2100 Bloor St W","Retirement Home","Respiratory","COVID-19",NA,2023-12-29,2024-01-14,"N",195,1016,"2023",1066
"27",6,"Delmanor Prince Edward - 1st, 2nd, 6th Fl & Kitchen","4180 Dundas St W","Retirement Home","Respiratory","COVID-19",NA,2021-12-30,2022-01-26,"N",55,385,"2021",394
"28",6,"Hellenic Home - 2B & 3B","2411 Lawrence Ave E","LTCH","Respiratory","COVID-19",NA,2022-12-30,2023-02-02,"N",477,1107,"2022",1133
"29",6,"North York General Hospital - Seniors' Health Centre - 4th Fl","2 Buchan Crt","LTCH","Respiratory","Coronavirus*",NA,2024-03-25,NA,"Y",169,247,"2024",272
"30",6,"Sts. Peter and Paul Residence - 6th Fl","221 Milner Ave","Retirement Home","Respiratory","COVID-19",NA,2020-12-30,2021-01-14,"N",97,519,"2020",553
"31",7,"Copernicus Lodge - Dining Area","66 Roncesvalles Ave","LTCH","Respiratory","COVID-19",NA,2020-12-30,2021-01-19,"N",316,519,"2020",553
"32",7,"Delmanor Wynford - 4th Fl","187 Wynford Dr","Retirement Home","Respiratory","Respiratory syncytial virus",NA,2023-12-29,2024-01-06,"N",195,1016,"2023",1066
"33",7,"Greenview Lodge - 1st Fl","880 Lawrence Ave E","Retirement Home","Respiratory","COVID-19",NA,2021-12-30,2022-02-04,"N",55,385,"2021",394
"34",7,"Kennedy Lodge - Main North 1st Fl","1400 Kennedy Rd","LTCH","Respiratory","Respiratory syncytial virus",NA,2022-12-30,2023-01-13,"N",477,1107,"2022",1133
"35",7,"Parkaland On Eglinton West - 5th & 8th Fl","4650 Eglinton Ave W","Retirement Home","Enteric","Pending",NA,2024-03-25,NA,"Y",35,25,"2024",272
"36",8,"Cheltenham Care Community - 3rd Fl","5935 Bathurst Street St","LTCH","Respiratory","Influenza B",NA,2024-03-24,NA,"Y",169,247,"2024",272
"37",8,"Extendicare Guildwood - West Wing","60 Guildwood Parkway","LTCH","Respiratory","COVID-19",NA,2020-12-30,2021-01-19,"N",316,519,"2020",553
"38",8,"Labdara Lithuanian Nursing Home - 1st, 2nd & 3rd Fl","5 Resurrection Rd","LTCH","Respiratory","COVID-19",NA,2021-12-30,2022-02-19,"N",187,385,"2021",394
"39",8,"Midland Gardens - 4th & 5th Fl","130 Midland Ave","LTCH","Respiratory","Respiratory syncytial virus",NA,2023-12-29,2024-01-26,"N",601,1016,"2023",1066
"40",8,"Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW","2075 Bayview Ave","LTCH","Respiratory","COVID-19",NA,2022-12-30,2023-01-09,"N",477,1107,"2022",1133
